Store_id,Product_id,Forecast_Frequency,Date,Sales,Type,Forecast_Method
S008,P006,weekly,2017-07-03,697.0,Actual,Actual Sales
S008,P006,weekly,2017-07-10,673.0,Actual,Actual Sales
S008,P006,weekly,2017-07-17,745.0,Actual,Actual Sales
S008,P006,weekly,2017-07-24,753.0,Actual,Actual Sales
S008,P006,weekly,2017-07-31,634.0,Actual,Actual Sales
S008,P006,weekly,2017-08-07,629.0,Actual,Actual Sales
S008,P006,weekly,2017-08-14,695.0,Actual,Actual Sales
S008,P006,weekly,2017-08-21,630.0,Actual,Actual Sales
S008,P006,weekly,2017-08-28,607.0,Actual,Actual Sales
S008,P006,weekly,2017-09-04,554.0,Actual,Actual Sales
S008,P006,weekly,2017-09-11,609.0,Actual,Actual Sales
S008,P006,weekly,2017-09-18,575.0,Actual,Actual Sales
S008,P006,weekly,2017-09-25,584.0,Actual,Actual Sales
S008,P006,weekly,2017-10-02,578.0,Actual,Actual Sales
S008,P006,weekly,2017-10-09,520.0,Actual,Actual Sales
S008,P006,weekly,2017-10-16,555.0,Actual,Actual Sales
S008,P006,weekly,2017-10-23,518.0,Actual,Actual Sales
S008,P006,weekly,2017-10-30,571.0,Actual,Actual Sales
S008,P006,weekly,2017-11-06,596.0,Actual,Actual Sales
S008,P006,weekly,2017-11-13,614.0,Actual,Actual Sales
S008,P006,weekly,2017-11-20,637.0,Actual,Actual Sales
S008,P006,weekly,2017-11-27,527.0,Actual,Actual Sales
S008,P006,weekly,2017-12-04,431.0,Actual,Actual Sales
S008,P006,weekly,2017-12-11,421.0,Actual,Actual Sales
S008,P006,weekly,2017-12-18,422.0,Actual,Actual Sales
S008,P006,weekly,2017-12-25,444.0,Actual,Actual Sales
S008,P006,weekly,2018-01-01,458.19,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-01-08,457.99,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-01-15,449.04,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-01-22,456.11,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-01-29,455.19,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-02-05,466.53,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-02-12,466.63,Forecast,Enhanced Ensemble
S008,P006,weekly,2018-02-19,471.8,Forecast,Enhanced Ensemble
S008,P007,weekly,2017-07-03,701.0,Actual,Actual Sales
S008,P007,weekly,2017-07-10,741.0,Actual,Actual Sales
S008,P007,weekly,2017-07-17,702.0,Actual,Actual Sales
S008,P007,weekly,2017-07-24,687.0,Actual,Actual Sales
S008,P007,weekly,2017-07-31,624.0,Actual,Actual Sales
S008,P007,weekly,2017-08-07,573.0,Actual,Actual Sales
S008,P007,weekly,2017-08-14,619.0,Actual,Actual Sales
S008,P007,weekly,2017-08-21,639.0,Actual,Actual Sales
S008,P007,weekly,2017-08-28,609.0,Actual,Actual Sales
S008,P007,weekly,2017-09-04,597.0,Actual,Actual Sales
S008,P007,weekly,2017-09-11,587.0,Actual,Actual Sales
S008,P007,weekly,2017-09-18,560.0,Actual,Actual Sales
S008,P007,weekly,2017-09-25,610.0,Actual,Actual Sales
S008,P007,weekly,2017-10-02,574.0,Actual,Actual Sales
S008,P007,weekly,2017-10-09,551.0,Actual,Actual Sales
S008,P007,weekly,2017-10-16,524.0,Actual,Actual Sales
S008,P007,weekly,2017-10-23,572.0,Actual,Actual Sales
S008,P007,weekly,2017-10-30,649.0,Actual,Actual Sales
S008,P007,weekly,2017-11-06,615.0,Actual,Actual Sales
S008,P007,weekly,2017-11-13,616.0,Actual,Actual Sales
S008,P007,weekly,2017-11-20,626.0,Actual,Actual Sales
S008,P007,weekly,2017-11-27,528.0,Actual,Actual Sales
S008,P007,weekly,2017-12-04,437.0,Actual,Actual Sales
S008,P007,weekly,2017-12-11,440.0,Actual,Actual Sales
S008,P007,weekly,2017-12-18,415.0,Actual,Actual Sales
S008,P007,weekly,2017-12-25,439.0,Actual,Actual Sales
S008,P007,weekly,2018-01-01,449.59,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-01-08,448.08,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-01-15,454.53,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-01-22,451.07,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-01-29,461.1,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-02-05,470.9,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-02-12,471.01,Forecast,Enhanced Ensemble
S008,P007,weekly,2018-02-19,481.0,Forecast,Enhanced Ensemble
S008,P008,weekly,2017-07-03,913.0,Actual,Actual Sales
S008,P008,weekly,2017-07-10,929.0,Actual,Actual Sales
S008,P008,weekly,2017-07-17,930.0,Actual,Actual Sales
S008,P008,weekly,2017-07-24,895.0,Actual,Actual Sales
S008,P008,weekly,2017-07-31,907.0,Actual,Actual Sales
S008,P008,weekly,2017-08-07,846.0,Actual,Actual Sales
S008,P008,weekly,2017-08-14,851.0,Actual,Actual Sales
S008,P008,weekly,2017-08-21,836.0,Actual,Actual Sales
S008,P008,weekly,2017-08-28,867.0,Actual,Actual Sales
S008,P008,weekly,2017-09-04,793.0,Actual,Actual Sales
S008,P008,weekly,2017-09-11,758.0,Actual,Actual Sales
S008,P008,weekly,2017-09-18,757.0,Actual,Actual Sales
S008,P008,weekly,2017-09-25,763.0,Actual,Actual Sales
S008,P008,weekly,2017-10-02,719.0,Actual,Actual Sales
S008,P008,weekly,2017-10-09,702.0,Actual,Actual Sales
S008,P008,weekly,2017-10-16,797.0,Actual,Actual Sales
S008,P008,weekly,2017-10-23,768.0,Actual,Actual Sales
S008,P008,weekly,2017-10-30,842.0,Actual,Actual Sales
S008,P008,weekly,2017-11-06,796.0,Actual,Actual Sales
S008,P008,weekly,2017-11-13,826.0,Actual,Actual Sales
