Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Naive,28.88,32.83,23.95,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,28.12,31.85,23.25,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,17.38,21.83,12.85,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,35.22,41.5,29.72,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,19.58,22.7,15.48,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.05,15.35,10.46,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,20.86,23.53,16.9,S001,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,66.75,90.82,20.65,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,62.25,68.49,17.83,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,41.88,52.51,10.68,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,66.3,89.8,20.47,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,53.92,57.11,14.29,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,39.8,44.52,10.04,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,43.72,48.35,12.39,S001,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,53.62,63.9,26.81,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,39.06,48.87,19.78,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.0,18.81,6.26,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,55.98,66.31,27.94,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,29.08,32.44,13.98,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,9.01,11.82,4.15,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,26.47,33.57,13.45,S001,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,26.12,30.33,18.41,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,31.31,33.54,25.56,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,17.62,20.06,12.75,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,35.83,43.11,31.07,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,27.0,28.26,21.14,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.73,19.22,11.75,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,25.54,26.39,19.94,S001,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,20.0,23.47,19.37,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,20.62,24.56,20.27,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.25,15.59,12.58,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,29.66,34.54,29.71,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,17.39,20.3,16.43,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,10.11,12.5,8.89,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,16.16,19.48,15.72,S001,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,69.12,84.07,20.2,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,56.12,64.14,15.56,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,43.0,51.82,10.73,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,72.65,87.79,21.22,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,46.35,53.98,11.95,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,28.3,35.8,7.03,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,38.42,47.65,10.64,S001,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,69.0,80.25,21.12,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,69.62,81.06,21.34,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.88,31.67,7.53,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,82.09,99.01,25.56,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,50.03,54.18,14.09,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,21.27,25.85,5.69,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,43.86,49.74,13.13,S001,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,92.12,110.19,21.18,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,84.19,97.64,19.12,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.25,35.11,4.95,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,104.67,126.11,24.14,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,66.34,68.57,14.09,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,27.13,34.83,5.5,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,60.32,66.93,13.44,S001,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,56.25,74.54,20.95,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,50.75,62.17,18.41,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,19.75,24.65,6.52,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,77.07,93.2,27.93,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,41.85,44.89,14.39,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.93,16.39,4.18,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,34.66,43.73,12.69,S001,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,94.0,121.0,23.11,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,77.25,87.16,17.88,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,41.25,45.42,8.85,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,92.19,117.72,22.6,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,64.86,68.78,14.01,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,27.39,31.9,5.67,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,51.05,59.79,11.94,S001,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,54.5,63.75,33.42,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,45.5,54.35,28.02,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,19.0,22.15,10.78,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,53.49,62.87,32.85,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,30.67,35.4,18.1,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.38,16.26,8.18,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,32.08,38.98,19.78,S002,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,92.0,107.76,19.88,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,91.25,105.9,19.65,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,34.5,42.24,6.6,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,114.54,142.91,25.28,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,72.44,77.88,14.85,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,33.83,38.19,6.38,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,59.16,67.66,12.59,S002,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,58.12,70.68,19.12,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,53.81,62.38,17.17,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,25.0,34.37,7.11,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,61.31,76.86,20.41,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,47.21,52.11,13.69,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,27.28,31.2,7.52,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,36.61,42.76,11.54,S002,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,30.62,38.24,17.26,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,30.19,37.22,16.93,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,20.88,23.36,10.35,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,39.15,48.66,22.19,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,25.56,27.59,13.15,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,15.47,18.2,7.48,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,21.41,25.08,11.7,S002,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,25.38,33.54,17.59,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,23.12,27.04,15.34,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.12,17.56,7.92,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,31.73,40.58,21.8,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,19.95,22.41,12.65,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,11.86,13.1,7.22,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,14.58,18.51,9.93,S002,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,107.5,126.77,23.35,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,90.5,103.17,19.34,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,22.5,37.06,4.34,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,122.46,143.3,26.56,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,65.59,74.76,13.53,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,24.46,30.96,4.51,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,65.89,73.69,14.02,S002,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,108.62,128.13,23.53,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,98.88,112.02,21.03,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,27.75,40.7,5.2,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,118.46,142.69,25.87,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,74.45,78.19,14.55,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,34.01,43.45,6.08,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,68.01,74.71,14.17,S002,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,128.88,160.42,21.0,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,109.06,138.13,17.79,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,54.5,69.48,7.89,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,140.23,173.0,22.8,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,82.74,88.87,12.37,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,36.02,44.73,5.2,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,66.79,86.82,10.87,S002,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,100.38,119.13,25.26,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,82.38,97.3,20.25,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.38,37.78,6.99,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,107.86,129.48,27.29,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,69.55,75.79,15.98,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,24.84,34.54,4.97,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,59.21,68.29,14.37,S002,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,130.0,149.41,21.89,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,115.69,129.43,19.12,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.38,40.66,5.11,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,147.17,174.47,25.09,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,87.26,92.46,13.46,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,39.52,46.14,5.91,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,74.52,82.66,12.21,S002,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,34.38,41.72,21.57,S003,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,24.25,31.37,15.47,S003,P001,weekly,8,2026-06-05 05:22:55.630437
