Store_id,Product_id,total_days,start_date,end_date,avg_daily_sales,total_sales
S002,P028,1826,2013-01-01,2017-12-31,112.64,205677.0
S002,P015,1826,2013-01-01,2017-12-31,112.58,205569.0
S002,P018,1826,2013-01-01,2017-12-31,108.12,197422.0
S008,P015,1826,2013-01-01,2017-12-31,108.05,197295.0
S002,P013,1826,2013-01-01,2017-12-31,107.9,197031.0
S008,P028,1826,2013-01-01,2017-12-31,107.81,196867.0
S008,P018,1826,2013-01-01,2017-12-31,103.82,189576.0
S008,P013,1826,2013-01-01,2017-12-31,103.82,189575.0
S002,P025,1826,2013-01-01,2017-12-31,103.43,188856.0
S002,P045,1826,2013-01-01,2017-12-31,103.38,188774.0
S002,P038,1826,2013-01-01,2017-12-31,103.25,188533.0
S002,P022,1826,2013-01-01,2017-12-31,103.01,188096.0
S003,P015,1826,2013-01-01,2017-12-31,100.42,183373.0
S003,P028,1826,2013-01-01,2017-12-31,100.14,182862.0
S008,P025,1826,2013-01-01,2017-12-31,99.24,181221.0
S002,P008,1826,2013-01-01,2017-12-31,99.09,180939.0
S010,P015,1826,2013-01-01,2017-12-31,98.99,180757.0
S008,P038,1826,2013-01-01,2017-12-31,98.95,180679.0
S008,P045,1826,2013-01-01,2017-12-31,98.94,180667.0
S008,P022,1826,2013-01-01,2017-12-31,98.91,180618.0
S002,P036,1826,2013-01-01,2017-12-31,98.77,180355.0
S010,P028,1826,2013-01-01,2017-12-31,98.77,180347.0
S003,P013,1826,2013-01-01,2017-12-31,96.21,175688.0
S003,P018,1826,2013-01-01,2017-12-31,96.09,175462.0
S010,P018,1826,2013-01-01,2017-12-31,94.72,172958.0
S010,P013,1826,2013-01-01,2017-12-31,94.68,172894.0
S008,P008,1826,2013-01-01,2017-12-31,94.46,172486.0
S008,P036,1826,2013-01-01,2017-12-31,94.37,172312.0
S002,P010,1826,2013-01-01,2017-12-31,94.1,171822.0
S009,P015,1826,2013-01-01,2017-12-31,93.14,170069.0
S009,P028,1826,2013-01-01,2017-12-31,92.79,169430.0
S004,P015,1826,2013-01-01,2017-12-31,92.65,169186.0
S004,P028,1826,2013-01-01,2017-12-31,92.55,169001.0
S003,P038,1826,2013-01-01,2017-12-31,91.87,167758.0
S003,P045,1826,2013-01-01,2017-12-31,91.85,167720.0
S003,P022,1826,2013-01-01,2017-12-31,91.85,167710.0
S003,P025,1826,2013-01-01,2017-12-31,91.84,167699.0
S010,P045,1826,2013-01-01,2017-12-31,90.69,165601.0
S010,P022,1826,2013-01-01,2017-12-31,90.53,165310.0
S010,P025,1826,2013-01-01,2017-12-31,90.5,165244.0
S010,P038,1826,2013-01-01,2017-12-31,90.1,164525.0
S008,P010,1826,2013-01-01,2017-12-31,89.82,164008.0
S002,P012,1826,2013-01-01,2017-12-31,89.35,163154.0
S002,P033,1826,2013-01-01,2017-12-31,89.31,163083.0
S002,P011,1826,2013-01-01,2017-12-31,89.31,163080.0
S002,P029,1826,2013-01-01,2017-12-31,88.97,162466.0
S009,P018,1826,2013-01-01,2017-12-31,88.61,161803.0
S004,P013,1826,2013-01-01,2017-12-31,88.6,161792.0
S009,P013,1826,2013-01-01,2017-12-31,88.51,161622.0
S004,P018,1826,2013-01-01,2017-12-31,88.5,161604.0
S003,P036,1826,2013-01-01,2017-12-31,87.76,160247.0
S003,P008,1826,2013-01-01,2017-12-31,87.52,159807.0
S010,P036,1826,2013-01-01,2017-12-31,86.63,158180.0
S010,P008,1826,2013-01-01,2017-12-31,86.18,157359.0
S008,P012,1826,2013-01-01,2017-12-31,85.64,156386.0
S008,P011,1826,2013-01-01,2017-12-31,85.5,156118.0
S008,P033,1826,2013-01-01,2017-12-31,85.35,155840.0
S008,P029,1826,2013-01-01,2017-12-31,85.23,155633.0
S009,P025,1826,2013-01-01,2017-12-31,85.14,155460.0
S009,P045,1826,2013-01-01,2017-12-31,85.09,155381.0
S004,P025,1826,2013-01-01,2017-12-31,85.02,155251.0
S009,P022,1826,2013-01-01,2017-12-31,84.86,154960.0
S002,P024,1826,2013-01-01,2017-12-31,84.78,154813.0
S004,P045,1826,2013-01-01,2017-12-31,84.69,154639.0
S002,P035,1826,2013-01-01,2017-12-31,84.66,154594.0
S009,P038,1826,2013-01-01,2017-12-31,84.64,154559.0
S004,P022,1826,2013-01-01,2017-12-31,84.63,154542.0
S002,P050,1826,2013-01-01,2017-12-31,84.62,154520.0
S004,P038,1826,2013-01-01,2017-12-31,84.57,154433.0
S003,P010,1826,2013-01-01,2017-12-31,83.39,152266.0
S010,P010,1826,2013-01-01,2017-12-31,82.23,150156.0
S009,P036,1826,2013-01-01,2017-12-31,81.45,148724.0
S009,P008,1826,2013-01-01,2017-12-31,81.29,148431.0
S008,P024,1826,2013-01-01,2017-12-31,81.21,148284.0
S004,P036,1826,2013-01-01,2017-12-31,81.03,147955.0
S008,P050,1826,2013-01-01,2017-12-31,80.97,147855.0
S008,P035,1826,2013-01-01,2017-12-31,80.84,147620.0
S004,P008,1826,2013-01-01,2017-12-31,80.82,147577.0
S003,P029,1826,2013-01-01,2017-12-31,79.68,145499.0
S001,P015,1826,2013-01-01,2017-12-31,79.68,145497.0
S001,P028,1826,2013-01-01,2017-12-31,79.57,145289.0
S003,P011,1826,2013-01-01,2017-12-31,79.29,144786.0
S003,P033,1826,2013-01-01,2017-12-31,79.13,144490.0
S003,P012,1826,2013-01-01,2017-12-31,79.08,144407.0
S010,P033,1826,2013-01-01,2017-12-31,78.36,143094.0
S010,P011,1826,2013-01-01,2017-12-31,78.27,142925.0
S010,P029,1826,2013-01-01,2017-12-31,78.24,142862.0
S010,P012,1826,2013-01-01,2017-12-31,78.06,142535.0
S009,P010,1826,2013-01-01,2017-12-31,77.11,140794.0
S004,P010,1826,2013-01-01,2017-12-31,77.05,140689.0
S001,P018,1826,2013-01-01,2017-12-31,76.35,139407.0
S001,P013,1826,2013-01-01,2017-12-31,76.16,139067.0
S002,P014,1826,2013-01-01,2017-12-31,75.36,137607.0
S002,P002,1826,2013-01-01,2017-12-31,75.32,137528.0
S002,P031,1826,2013-01-01,2017-12-31,75.28,137455.0
S002,P046,1826,2013-01-01,2017-12-31,75.22,137351.0
S003,P024,1826,2013-01-01,2017-12-31,75.15,137231.0
S002,P007,1826,2013-01-01,2017-12-31,75.06,137057.0
S003,P050,1826,2013-01-01,2017-12-31,74.96,136874.0
S002,P006,1826,2013-01-01,2017-12-31,74.95,136850.0
S003,P035,1826,2013-01-01,2017-12-31,74.62,136262.0
S010,P024,1826,2013-01-01,2017-12-31,74.32,135704.0
S010,P050,1826,2013-01-01,2017-12-31,74.04,135192.0
S010,P035,1826,2013-01-01,2017-12-31,73.64,134473.0
S009,P012,1826,2013-01-01,2017-12-31,73.41,134038.0
S004,P011,1826,2013-01-01,2017-12-31,73.4,134030.0
S004,P033,1826,2013-01-01,2017-12-31,73.38,133989.0
S001,P038,1826,2013-01-01,2017-12-31,73.34,133927.0
S004,P029,1826,2013-01-01,2017-12-31,73.24,133743.0
S009,P029,1826,2013-01-01,2017-12-31,73.19,133641.0
S009,P011,1826,2013-01-01,2017-12-31,73.17,133606.0
S009,P033,1826,2013-01-01,2017-12-31,73.16,133590.0
S004,P012,1826,2013-01-01,2017-12-31,73.1,133486.0
S001,P022,1826,2013-01-01,2017-12-31,72.78,132899.0
S001,P025,1826,2013-01-01,2017-12-31,72.74,132816.0
S001,P045,1826,2013-01-01,2017-12-31,72.72,132788.0
S008,P046,1826,2013-01-01,2017-12-31,72.0,131481.0
S008,P031,1826,2013-01-01,2017-12-31,71.98,131431.0
S008,P006,1826,2013-01-01,2017-12-31,71.96,131396.0
S008,P007,1826,2013-01-01,2017-12-31,71.73,130980.0
S008,P002,1826,2013-01-01,2017-12-31,71.66,130845.0
S008,P014,1826,2013-01-01,2017-12-31,71.6,130747.0
S009,P035,1826,2013-01-01,2017-12-31,69.58,127047.0
S001,P008,1826,2013-01-01,2017-12-31,69.47,126856.0
S009,P024,1826,2013-01-01,2017-12-31,69.47,126845.0
S001,P036,1826,2013-01-01,2017-12-31,69.31,126560.0
S009,P050,1826,2013-01-01,2017-12-31,69.31,126557.0
S004,P024,1826,2013-01-01,2017-12-31,69.12,126212.0
S004,P035,1826,2013-01-01,2017-12-31,68.97,125940.0
S004,P050,1826,2013-01-01,2017-12-31,68.92,125851.0
S003,P006,1826,2013-01-01,2017-12-31,67.01,122355.0
S005,P015,1826,2013-01-01,2017-12-31,66.99,122319.0
S005,P028,1826,2013-01-01,2017-12-31,66.98,122307.0
S003,P031,1826,2013-01-01,2017-12-31,66.97,122295.0
S003,P014,1826,2013-01-01,2017-12-31,66.84,122052.0
S003,P002,1826,2013-01-01,2017-12-31,66.8,121985.0
S003,P046,1826,2013-01-01,2017-12-31,66.75,121882.0
S006,P015,1826,2013-01-01,2017-12-31,66.67,121737.0
S003,P007,1826,2013-01-01,2017-12-31,66.65,121699.0
S006,P028,1826,2013-01-01,2017-12-31,66.46,121357.0
S001,P010,1826,2013-01-01,2017-12-31,66.35,121163.0
S010,P014,1826,2013-01-01,2017-12-31,66.1,120699.0
S010,P046,1826,2013-01-01,2017-12-31,66.05,120601.0
